 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 4.62756045162678E-0002  1.38060880411976E+0000  7.30976731659518E+0000  1.38060880411976E+0000  7.30976731659518E+0000  1.38060880411976E+0000  7.30976731659518E+0000
 4.94756437838078E-0002  1.12593121839377E+0000  7.19802879956257E+0000  1.12593121839377E+0000  7.19802879956257E+0000  1.12593121839377E+0000  7.19802879956257E+0000
 5.26756867766380E-0002  1.53085430396135E+0000  5.45210081150131E+0000  1.53085430396135E+0000  5.45210081150131E+0000  1.53085430396135E+0000  5.45210081150131E+0000
 5.58757297694683E-0002  1.57867988686195E+0000  6.31154369354913E+0000  1.57867988686195E+0000  6.31154369354913E+0000  1.57867988686195E+0000  6.31154369354913E+0000
 5.90757690370083E-0002  1.33646202099730E+0000  1.12403822666340E+0001  1.33646202099730E+0000  1.12403822666340E+0001  1.33646202099730E+0000  1.12403822666340E+0001
 6.22758120298386E-0002  1.66521410500076E+0000  7.83096722069320E+0000  1.66521410500076E+0000  7.83096722069320E+0000  1.66521410500076E+0000  7.83096722069320E+0000
 6.70758783817291E-0002  1.31489105142461E+0000  8.84658209495526E+0000  1.31489105142461E+0000  8.84658209495526E+0000  1.31489105142461E+0000  8.84658209495526E+0000
 7.34759569168091E-0002  1.41723712275806E+0000  8.92927505017492E+0000  1.41723712275806E+0000  8.92927505017492E+0000  1.41723712275806E+0000  8.92927505017492E+0000
 7.98760429024696E-0002  1.32756803781766E+0000  1.00940466620111E+0001  1.32756803781766E+0000  1.00940466620111E+0001  1.32756803781766E+0000  1.00940466620111E+0001
 8.62761288881302E-0002  1.42738319115367E+0000  8.20858780698726E+0000  1.42738319115367E+0000  8.20858780698726E+0000  1.42738319115367E+0000  8.20858780698726E+0000
